Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
karl fazer 200g maitosuklaa suklevy,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2220.0,31.0,50.0,11.0,0.42,,,
järvikylä min50g tilli,Hedelmät ja vihannekset:1,Yrtit:79,,g,108.0,0.8,0.9,3.7,0.065,2.1,,
järvikylä min50g villirucola,Hedelmät ja vihannekset:1,Vihannekset:40,Salaatit:49,g,105.0,0.7,2.1,2.6,0.0675,1.6,Erikoissalaatit:11787,
ruohosipuli,Leivonta ja maustaminen:807,Mausteet:819,Yrttimausteet:826,g,95.0,0.1947,1.7,1.38,14.0,2.4,,
juustoportti täysmaito 1l,Maito:351,Maito:352,Perusmaidot kylmästä:1751,g,270.0,3.5,4.8,3.2,0.1,,,
muru 40g/0.6dl vaniljapuikko,Pakasteet:1075,Jäätelöt:1136,Puikot:1142,g,1408.0,22.0,29.0,3.9,0.18,,,
sika-nautajauheliha 23%,Liha:80,Jauheliha:167,Jauhelihat:168,g,1155.0,23.0,0.0,17.0,0.1,,,
kar 400g kananpojan jauhelih mausta,Liha:80,Jauheliha:167,Jauhelihat:168,g,429.0,3.0,0.0,19.0,0.18,,,
vaasan ruispalat jyväinen 450g,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1235.0,8.3,40.0,14.0,1.1,11.0,,
taf juustosnacks 235g maust jsnacks,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Juustosnacksit:1214,g,2295.0,33.0,51.0,10.0,1.8,,,
rb 0.5 l kmp orange,Juomat:994,Virvoitusjuomat:1022,Muut virvoitusjuomat:1026,g,170.0,0.0,10.3,0.0,0.0,0.0,,
mansikkarasia,Hedelmät ja vihannekset:1,Marjat:78,,g,195.0,0.1909,8.4,0.5,0.0,1.9,,
puuroriisi,Kuivatuotteet:895,"Riisit, pastat ja nuudelit:914",Puuroriisit:918,g,1468.0,1.2,77.0,7.5,0.01,,,
atria 300g vinaigrette kaalisal,Valmisruoka:497,Salaatit:498,Raaste- ja tuoresalaatit:501,g,662.0,12.0,11.0,0.9,0.72,1.2,,
yosa kauravälipala 400g vanilja,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,327.0,1.5,15.0,1.5,0.13,0.3,,
fettuccine,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1209.0,2.8,53.0,11.0,0.07,,,1.4
apetina 100g aurinkok.tomaat. snack,Juustot:417,Ruokajuustot:447,Fetatyyppiset juustot:2857,g,1318.0,27.0,2.7,15.0,3.0,,,
omena royal gala,Hedelmät ja vihannekset:1,Hedelmät:2,Omenat:10,g,161.0,0.0396,8.16,0.16,0.0,1.5,"Omenat, punakeltaiset:11",
koskenlaskija 250g paprika,Juustot:417,Ruokajuustot:447,Sulatejuustopalat:2861,g,1150.0,22.0,0.0,19.0,2.8,0.0,,
hedtar luomtäysmehu hedpork 1l,Rasvat ja öljyt:476,Rypsiöljyt:485,Ei kylmäpuristetut rypsiöljyt:486,g,3700.0,100.0,0.0,0.0,0.0,0.0,,
jälkiuunlast ruohosi 130g rap ruisl,Leipä:701,Kuivaleivät:757,Naposteltavat kuivaleivät:1866,g,1465.0,9.3,51.0,8.8,1.9,13.0,,
sne 400g kunnon nakkimakkara,Liha:80,Ruokamakkarat:220,Nakit:222,g,1200.0,26.0,0.3,14.0,2.1,0.0,,
latz 400g seaside sensations,Lemmikit:1337,Kissanruoat:1397,Kuivat kissanruoat:1398,g,0.0,10.0,,30.0,,2.0,Kissan perusruoka <1kg:1403,
fazer pätkis 39g/0.6dl puikko,Pakasteet:1075,Jäätelöt:1136,Puikot:1142,g,1408.0,22.0,29.0,3.9,0.18,,,
dukat 100g suklaa mousse,Maito:351,Vanukas ja jälkiruoka:2626,Herkutteluvanukas:2627,g,876.0,10.7,23.9,3.7,0.1,1.4,,
kotimaista 700g sika-nautajauheliha,Liha:80,Jauheliha:167,Jauhelihat:168,g,1100.0,23.0,0.0,17.0,0.05,,,
hartwall jaffa limonadijää 68g/70ml,Pakasteet:1075,Jäätelöt:1136,Mehujäät:1140,g,400.0,0.0,24.0,0.5,0.01,,,
sne 400g porsaan palapaisti,Liha:80,Porsaanliha:170,Porsaan suikaleet ja kuutiot:173,g,860.0,15.0,0.0,18.0,0.1,,,
taf micropopcorn 90g voinmaku,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Popcornit:1218,g,1788.0,21.0,48.0,8.1,2.5,,,
dolmio 500g lasagne välim.vihan.tom,Kuivatuotteet:895,Kastikkeet:957,Pastakastikkeet:966,g,196.0,0.2,9.1,1.2,0.83,,,
valio voi 500 g normaalisuolainen,Rasvat ja öljyt:476,Käärevoi:483,,g,2984.0,80.0,0.8,0.6,1.4,,,
taf nacho ch balls 235g m jsnacks,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Juustosnacksit:1214,g,2250.0,30.0,58.0,7.5,1.9,,,
jenkki pro 90g freshmint purukumi,"Makeiset, jäätelöt ja naposteltavat:1144",Purukumit:1168,Purukumipussit ja -pakkaukset>60g:1170,g,725.0,0.8,68.0,0.0,0.0,1.38,,
sm tm 84g taco spice mix 3-pack,Kuivatuotteet:895,Tex-mex:935,Texmex-mausteet:937,g,1222.0,2.0,46.0,9.6,,,,
heimon n250g savulohifileepala,Kala:262,Savukalat:324,Lämminsavu-/hiillostettu kala:326,g,620.0,6.7,0.0,21.9,1.5,,,
sm whole wheat tortilla 320g,Kuivatuotteet:895,Tex-mex:935,"Kuoret,tortillat ja dinnerit:936",g,1171.0,5.5,47.0,8.0,1.2,5.2,,
atria 400g kevyt jauheliha 9,Liha:80,Jauheliha:167,Jauhelihat:168,g,693.0,9.5,0.0,20.0,0.15,0.0,,
ristorante 335 g mozzarella,Valmisruoka:497,Pakastepizzat:535,Ohutp pizz 200-500g:537,g,1091.0,13.3,24.0,10.0,1.0,,,
tummasuklaa&minttuvanukas,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Tummasuklaalevyt:1146,g,2387.0,48.0,21.0,9.3,0.02,,,21.0
tuplasuklaavanukas,Maito:351,Vanukas ja jälkiruoka:2626,Perusvanukas:2630,g,524.0,4.6,18.0,2.8,,,,
heimon n900g savukirjolohi,Kala:262,Savukalat:324,Lämminsavu-/hiillostettu kala:326,g,620.0,6.7,0.0,21.9,1.5,,,
lu 100g tuc sweet chili,Leipä:701,Keksit:767,Voileipä- ja suolakeksit:770,g,2047.0,23.0,65.0,8.1,1.94,2.3,,
lipsi vadelmalimonadijää 70ml/68g,Pakasteet:1075,Jäätelöt:1136,Mehujäät:1140,g,440.0,0.0,26.0,0.5,0.01,,,
snickers 75g 2pack suklaapatukka,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Energiasuklaapatukat:1151,g,2018.0,22.5,60.5,8.6,0.63,,,
rypäleet,Hedelmät ja vihannekset:1,Hedelmät:2,Rypäleet:19,g,310.0,0.4,15.5,0.8,2.25,1.1,"Rypäleet, vihreät:22",
ristorante  360 g salame mozzarella,Valmisruoka:497,Pakastepizzat:535,Ohutp pizz 200-500g:537,g,1063.0,13.9,23.2,9.1,1.4,,,
kulta katriina 450g tummempi sj,Juomat:994,Kahvit ja suodatinpaperit:2609,Suodatinjauhatuskahvit:2610,g,13.0,0.1,0.3,0.3,,,,
lapin liha kotasavu 250g palvis,Liha:80,Muut lihat ja lihajalosteet:230,"Suikaleet, kuutiot ja rouheet:3023",g,558.0,8.8,3.9,8.7,2.7,,,
pastella 250g luomu rav pinaat tuor,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1094.0,9.5,31.0,12.0,1.3,2.6,,
arla ihana 200g kauma piparkakku,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,660.0,7.0,16.0,7.3,0.1,,,
valio raejuusto 200g,Juustot:417,Ruokajuustot:447,Raejuustot:2858,g,343.0,2.0,1.8,14.0,0.7,,,
tomaatti suomi,Hedelmät ja vihannekset:1,Vihannekset:40,Tomaatit:41,g,95.0,0.1614,3.45,0.56,0.0,1.4,,
rainbow 1,Juomat:994,Virvoitusjuomat:1022,Lasten virvoitusjuomat:1873,g,170.0,0.0,10.0,0.0,0.0,,,
kotivara 150g pepperoni salami,Liha:80,Leikkeleet:226,Meetvurstit:228,g,1903.0,40.0,1.5,22.5,4.0,1.0,,
